原始问题,原始答案,问题分类
什么是车票实名制管理？,车票实名购买和实名查验统称为车票实名制管理。车票实名购买，是指购票人凭乘车人的有效身份证件购买车票，铁路运输企业凭乘车人的有效身份证件销售车票，并记录旅客身份信息和购票信息的行为；车票实名查验，是指铁路运输企业对实行车票实名购买的车票记载的身份信息与乘车人及其有效身份证件进行一致性核对，并记录旅客乘车信息的行为。,证件/实名制
实行车票实名制时可以使用哪些身份证件？,有效身份证件包括：中华人民共和国居民身份证（含中华人民共和国临时居民身份证），居民户口簿，中华人民共和国护照，中华人民共和国出入境通行证，中华人民共和国旅行证，新生儿出生医学证明，军官证、警官证、文职干部证、义务兵证、士官证、军士证、警士证、文职人员证，海员证，以及公安机关出具的临时乘车身份证明；中华人民共和国港澳居民居住证，中华人民共和国台湾居民居住证，港澳居民来往内地通行证，往来港澳通行证，大陆居民往来台湾通行证，台湾居民来往大陆通行证；外国人永久居留身份证，外国人护照，外国人出入境证，公安机关出具的外国人签证证件受理回执、护照报失证明，各国驻华使领馆签发的临时性国际旅行证件（应当附具公安机关签发的有效签证或者停留证件）。,证件/实名制
哪些证件可自动识读进站？,使用中华人民共和国居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证，港澳居民来往内地通行证，台湾居民来往大陆通行证等可识读证件购票的旅客，凭购票时所使用的有效身份证件原件，可通过实名制核验、检票闸机自助完成实名制验证、进出站检票手续。使用其他证件购票的旅客，凭购票时所使用的有效身份证件原件，通过人工通道完成实名制验证、进出站检票手续。,证件/实名制
如何办理乘坐旅客列车临时身份证明？,旅客购票时或购票后、乘车前因有效身份证件未携带、丢失等原因无法出示有效证件时，可以至车站铁路公安制证口办理乘坐旅客列车临时身份证明（中国居民身份证类型旅客可在铁路12306 APP上申请电子临时乘车身份证明）。乘坐旅客列车临时身份证明仅供旅客购票、退票、改签、实名制核验、检票以及乘车使用，请妥善保管。,证件/实名制
什么是联程车票？,旅客分段购买的，出发地至目的地间可联程接续的多段车票；前段车票到站与后段车票发站应为同一或同城铁路客运营业站，且前段车票到站时间与后段车票开车时间间隔不超过24小时。,其他
去哪里可以购买车票？,请到铁路运输企业或其销售代理人的售票处购买火车票。目前，铁路部门提供以下方式：铁路售票窗口，指铁路车站售票处和铁路客票代售点。铁路车站或指定场所设置的自动售票机。www.12306.cn网站和手机客户端。电话订票。在已经开通电话订票业务的地区，旅客可以先通过电话预订车票，再按规定时间到指定地点支付。在开通铁路乘车卡（如铁路e卡通、中铁银通卡、广深铁路牡丹信用卡等）的线路上，旅客可以在申购卡后，持卡进站、乘车。www.12306.cn是中国铁路客户服务中心官方网站，如通过其他网站办理客票业务出现问题，铁路部门将不予受理。,购票方式
如何购买优待（惠）车票？,购买儿童优惠票、学生优惠票、残疾军人（持中华人民共和国残疾军人证、中华人民共和国伤残人民警察证、国家综合性消防救援队伍残疾人员证的人员）优待票、残疾人专用票额车票时，要符合规定的优惠（待）条件，并请提供相关凭证（证明）。,购票方式
车票有效期是如何规定的？,除有效期有其他规定的车票外，车票当日当次有效。,其他
为什么有“硬卧代硬座”、“软卧代软座”“ 卧代二等座”车票?,为充分发挥铁路运输能力，满足旅客出行需求，部分列车的软、硬卧代作软座（二等座）、硬座使用。,其他
什么是中铁银通卡？,中铁银通卡是由中铁银通支付有限公司发行的双介质预付卡，可在指定线路上直接刷卡检票乘车，也可以作为普通银行卡用于购票付款。更多信息，请拨打中铁银通公司客户服务热线：4008-368-368。,其他
什么是广深铁路牡丹信用卡？,广深铁路牡丹信用卡是广深铁路股份公司与中国工商银行联合推出的双介质信用卡，可以在广深线直接刷卡检票乘坐动车组列车，也可以作为普通信用卡使用。,其他
行程信息提示如何打印？,旅客通过12306.cn网站购票后，可通过网站自行打印或下载“行程信息提示”，也可在车站指定窗口或自动售票机打印。,其他
如何开具铁路电子发票？,铁路全面推广使用电子发票（铁路电子客票），如需报销开具发票，可通过中国铁路12306网站（含12306移动端）或车站售票窗口（不含客票代售点）、自动售票机申请开具本人已购车票以及退票费、改签费的铁路电子发票。购票后，可在行程结束之日起180日内办理；退票、改签业务成功后，可在办理之日起180日内办理。铁路电子发票可以多次下载。,发票/报销
乘车人如何开具铁路电子发票？,乘车人使用中华人民共和国居民身份证 (含中华人民共和国临时居民身份证)、中华人民共和国护照、中华人民共和国港澳居民居住证、中华人民共和国台湾居民居住证、港澳居民来往内地通行证、台湾居民来往大陆通行证、外国人永久居留身份证、外国人护照办理购票、 退票、改签的，可登录12306网站开具铁路电子发票。乘车人也可凭购票时使用的本人有效身份证件在车站售票窗口申请开具铁路电子发票，由车站售票窗口为乘车人提供“扫码开票单”；或由乘车人凭购票时使用的有效身份证件通过自动售票机自行打印 “扫码开票单”。乘车人通过12306移动端扫描“扫码开票单”上的二维码，补全相关核验信息后开具铁路电子发票。,发票/报销
购票人（代办人）如何开具铁路电子发票？,购票人通过12306网站购票或办理退票、改签的，可凭乘车人购票时使用的有效身份证件到车站售票窗口申请开具铁路电子发票，由车站售票窗口提供“扫码开票单”；无法提供乘车人有效身份证件时，也可凭订单号、购票人有效身份证件到车站售票窗口提出申请。购票人通过12306移动端扫描“扫码开票单”上的二维码，补全相关核验信息后开具铁路电子发票。购票人通过车站售票窗口购票且需开具发票的，应当场凭乘车人有效身份证件申请开具；无法提供乘车人有效身份证件时，应在当场凭购票人有效身份证件申请开具；车站售票窗口提供所购车票的 “扫码开票单”。代办人通过车站售票窗口退票、改签后需开具发票的，应当场凭乘车人有效身份证件申请开具退票费、改签费的铁路电子发票，车站售票窗口提供“扫码开票单”。购票人 (代办人) 通过12306移动端扫描“扫码开票单”上的二维码，补全相关核验信息后开具铁路电子发票。,购票方式
在售票窗口购买实名制车票时，可以使用哪些身份证件？,通过车站售票窗口、铁路车票销售代理人的售票处购票或列车上购票、补票时，可以使用的有效身份证件包括：中华人民共和国居民身份证（含中华人民共和国临时居民身份证），居民户口簿，中华人民共和国护照，中华人民共和国出入境通行证，中华人民共和国旅行证，新生儿出生医学证明，军官证、警官证、文职干部证、义务兵证、士官证、军士证、警士证、文职人员证，海员证，以及公安机关出具的临时乘车身份证明；中华人民共和国港澳居民居住证，中华人民共和国台湾居民居住证，港澳居民来往内地通行证，往来港澳通行证，大陆居民往来台湾通行证，台湾居民来往大陆通行证；外国人永久居留身份证，外国人护照，外国人出入境证，公安机关出具的外国人签证证件受理回执、护照报失证明，各国驻华使领馆签发的临时性国际旅行证件（应当附具公安机关签发的有效签证或者停留证件）。,证件/实名制
我可以帮别人购买车票吗？,可以，凭乘车人有效身份证件购买车票。,购票方式
在乘降所（无人售票的车站）如何购票？,在乘降所（无人售票的车站）上车时，可以在列车上购票，但最远至本次列车终点站，不收手续费。,购票方式
在铁路售票窗口购买火车票时，如何支付票款？,在铁路售票窗口购票时，可以使用现金、微信、支付宝、POS机收单行的银行卡或带有银联标识的各种银行卡支付票款。一笔交易的全部票款请使用一张银行卡支付。,购票方式
旅客在售票窗口购票时需要注意什么？,旅客付款时，请当场认真核对票款。当场发现票款有误时，请立即向售票人员提出。,购票方式
在自动售票机购买火车票时，可以使用哪些证件？,通过自动售票机购票时，可以使用的有效身份证件包括：中华人民共和国居民身份证，中华人民共和国护照，中华人民共和国港澳居民居住证，中华人民共和国台湾居民居住证，港澳居民来往内地通行证，台湾居民来往大陆通行证，外国人永久居留身份证。,证件/实名制
在自动售票机购买火车票时，可以购买什么票？,在自动售票机，可以购买全价票、儿童优惠票、学生优惠票、残疾军人优待票等。学生旅客进站前应到车站指定售票窗口或自动售/取票机办理一次本人居民身份证件与学生优惠卡的核验手续（学生优惠票需每学年乘车前办理一次），通过后可凭居民身份证件自助办理实名制验证和进出站检票。,购票方式
在自动售票机购买火车票时，如何支付票款？,在自动售票机，可以使用现金或自动售票机上标识的银行所发行的银行卡，以及带银联标识的其他银行借记卡和预付卡（不含信用卡）支付票款。,购票方式
在自动售票机购买火车票时，对现金支付有何要求？,购票后，请及时取回找零款或银行卡。,购票方式
铁路订票电话是什么？,全国铁路电话订票号码为区号+95105105。,其他
电话订票，可以买哪些车票？,通过电话订票，可以购买全价票，儿童优惠票，学生优惠票、残疾军人优待票。,其他
什么时候可以电话订票？,电话订票系统开放时间为每日5:00-23:00，可预订第4天（含第4天）至预售期内的车票。,其他
电话订票时，可以使用哪些身份证件？,通过订票电话购票时，可以使用的有效身份证件包括：中华人民共和国居民身份证（含中华人民共和国临时居民身份证），中华人民共和国护照；中华人民共和国港澳居民居住证，中华人民共和国台湾居民居住证，港澳居民来往内地通行证，台湾居民来往大陆通行证；外国人永久居留身份证，外国人护照。,证件/实名制
电话订票时，什么时候支付票款？,在当日12点前电话订票成功的，必须在次日12点前支付；当日12点以后电话订票成功的，必须在次日24点前支付。凭电话订票系统提供的订单号、乘车人的有效身份证件原件，到全路任一车站售票窗口或铁路客票代售点办理支付。,其他
电话订票能否在12306.cn网站查询、支付？,电话订票系统与互联网售票系统，目前是相互独立的系统，12306.cn网站暂不提供电话订票信息查询、支付等服务,12306平台
12306.cn网站提供哪些服务？,12306网站提供旅客列车时刻表、余票、票价、正晚点、规章制度等客运信息查询，办理网络购票、网络改签、候补购票、变更到站、网络退票等业务。,12306平台
12306.cn网站注册规定？,在12306网站购票，必须实名注册为网站用户。注册时按12306网站页面提示要求填写相关信息。,12306平台
12306.cn网站如何找回密码？,在登录界面，点击“忘记密码”，可按页面流程通过人脸识别、注册时通过核验的手机号码或邮箱地址找回密码，建议您设置的本网站密码与其他网站不同，请妥善保管密码。铁路12306 App用户可设置指纹登录。,12306平台
12306.cn网站是全天服务吗？,12306.cn网站全天提供信息查询及退票服务，每日5:00至次日1:00（周二为5:00至24:00）提供售票改签服务。,12306平台
12306.cn网站可以买哪些票？,在12306.cn网站，可以购买铁路客票系统发售的全价票、儿童优惠票、学生优惠票、残疾军人优待票（持中华人民共和国残疾军人证、中华人民共和国伤残人民警察证、国家综合性消防救援队伍残疾人员证的人员）四种各车次、各席别的车票。,12306平台
在12306网站可以使用哪些身份证件？,通过12306网站购票时，可以使用的有效身份证件包括：中华人民共和国居民身份证（含中华人民共和国临时居民身份证），中华人民共和国护照；中华人民共和国港澳居民居住证，中华人民共和国台湾居民居住证，港澳居民来往内地通行证，台湾居民来往大陆通行证；外国人永久居留身份证，外国人护照。,证件/实名制
一张有效身份证件同一乘车日期同一车次是否可以购买多张车票？,一张有效身份证件同一乘车日期同一车次只能购买一张车票，高铁动卧列车除外。,证件/实名制
我可以在12306网站帮朋友买票吗？,12306.cn网站提示身份信息核验状态为“已通过”、“预通过”的注册用户均可以为自己或他人购票。登录后，请将您的朋友添加为乘车人，准确输入其姓名、有效身份证件类型和号码，12306.cn网站提示其身份信息核验状态为“已通过”、“预通过”、 持外国护照注册状态为“待核验”的，即可按12306.cn网站的相应提示操作购票。持外国护照注册状态“已通过”、“预通过”和“待核验”的注册用户，仅可为“已通过”、“预通过”港澳居民来往内地通行证、台湾居民来往大陆通行证的乘车人购票；可为“已通过”、“预通过”、 “待核验”的持外国护照的乘车人购票。,购票方式
12306.cn网站如何进行手机双向核验及相关注意事项？,为了保护您的信息安全，便于今后为您服务，请按以下步骤进行手机双向核验:用注册手机号编辑短信“999”发送至12306，以便确认您的手机可以联络。12306接到您的短信后将回复六位数字短信，请您在十分钟内将六位数字短信填写在注册界面空白框中，点击“完成注册”按钮。一个用户一天可以获取三次手机核验的短信验证码。手机核验通过的用户方能在12306网站办理邮箱修改、密码修改等业务。,12306平台
12306.cn网站乘车人如何进行手机核验及相关注意事项？,购票人填写乘车人手机号码后，将系统显示的动态验证码8位数字告知乘车人（30分钟内有效），由乘车人使用该手机号码将动态验证码发送至“12306”。系统收到该信息后确认核验完成。,12306平台
12306.cn网站怎样辨别网络购票的是“无座”车票？,购买车票时，在“确认订单”页面提示“您所购车次的硬座已售完，系统自动为您分配了无座票。”同时在“订单信息”页面中“席位号”显示为“无座”字样，表明您购买的硬座车票是无座。,购票方式
12306网站可以使用哪些在线支付工具？,目前，12306网站支持以下在线支付工具：开通工商银行、农业银行、中国银行、招商银行、建设银行、邮储银行和交通银行网银账户的用户，可以直接使用银行网银支付。开通其他银行网银账户的用户，可以使用银联网银支付未开通网银账户的用户，可以使用银联快捷支付。用户可以使用支付宝、微信支付。同一订单请使用一个在线支付工具一次性支付。,12306平台
12306.cn网站在线支付票款有时间要求吗？,在12306.cn网站申请到席位后，请在网站提示的支付时间内，在线支付票款，否则将取消席位。,12306平台
如何知道购票成功？,"12306.cn网站在用户购票成功后，跳转到“订票成功”页面以提示用户，并将订单信息自动保存在用户“我的订单”中，同时向用户注册时提供的邮箱发送邮件通知、向用户在""通知设置""中选择的通知渠道发送通知信息，请及时查询。",购票方式
12306.cn网站购票多次未支付或取消订单，系统将该用户锁闭怎么办？,对一天内未支付或取消订单合计超过3次的用户（包含无座票时取消5次计为取消1次），系统将限制其使用，请您第二天再尝试购票。在此期间不能再使用此用户名购票，请您换一个用户名或使用其他证件重新注册后再购票。,购票方式
在12306.cn网站购票后是否可以异地乘车？,在12306.cn网站购票后，可以到车票票面载明的发站乘车，也可以在中途站乘车。,购票方式
哪些旅客可以进行候补购票？,12306网站的所有注册用户均可自愿申请获得该项服务。为了确保用户的真实性，防止出现冒用他人身份信息注册用户进行囤票的行为，在申请候补购票前，用户需进行人证一致性核验，核验方法可参见12306网站操作说明。目前已通过人证一致性核验的用户及激活的“铁路畅行”会员，可自动获得该项服务。,购票方式
候补车票的兑现规则有哪些？,候补订单的提交时间与12306网站（含手机客户端）运营时间一致；候补订单的兑现时间为24小时兑现；候补终止时间不晚于开车前20分钟。您可在提交候补订单时自主设定终止兑现时间，也可在提交候补订单后随时修改和主动终止兑现。（均不晚于最晚终止时间）,其他
候补订单提交是否越早越好？能否部分兑现？,系统根据用户提交的订票需求兑现候补车票时，原则上按照订单生效的时间顺序进行，同一候补需求不进行部分兑现。,其他
候补车票订单如何支付？,候补购票需预付款，按订单不同组合需求中票款的最高额度计算（卧铺按下铺票价计算）。候补购票预付款支付成功后，系统将持续尝试为您兑现候补需求，若有匹配需求的车票，系统将自动为您生成已支付订单，预付款大于实际票款的，系统将自动退回差额票款；若无法满足您需求的席位，将在截止兑现时间自动终止兑现，用户主动终止或系统自动终止候补的，系统自动原额退还预付款。,其他
已支付成功的候补订单是否可以修改？,候补订单提交成功后需在系统提示时间内完成支付，完成候补预付款支付后，候补购票订单立即生效。候补购票订单生效后，除截止兑现时间可以修改，其它相关候补需求不可修改，如需变更，可终止订单后重新操作。,其他
候补订单兑现成功、兑现失败、自动退单时以何种方式提醒旅客？,请登录12306及时查询候补订单状态，候补兑现结果以订单查询结果为准。候补订单兑现成功、兑现失败、自动退单时均通过用户选择的通知渠道（短信、微信或支付宝）推送通知消息。推送消息的同时，也会发送邮件通知（用户邮箱须激活）。,其他
购买火车票为什么需要预留乘车人联系方式？,根据《铁路旅客运输规程》规定，购票人应当向铁路运输企业提供乘车人真实有效的联系方式。,购票方式
如何预留乘车人联系方式？,可通过12306网站、“铁路12306”手机客户端、车站售票窗口、代售处、自动售票机以及“铁路12306”微信公众号/微信小程序/支付宝小程序等渠道预留乘车人联系方式。,乘车/进站
没有手机的旅客如何预留联系方式？,未成年人、老年人等重点旅客以及无手机的旅客可提供通过核验的监护人或亲友手机号码；港澳台旅客、外籍旅客可提供通过核验的电子邮箱。,12306平台
手机号码关联证件数量达到上限后无法再核验使用的如何进行解绑？,可通过“铁路12306”手机客户端、车站售票窗口、代售处、自动售票机以及“铁路12306”微信公众号/微信小程序/支付宝小程序等渠道进行解绑，或联系12306客服协助处理。,证件/实名制
什么是改签？,旅客变更乘车日期、时间、车次、席位、席别和到站时需办理的签证手续。铁路部门提醒旅客，改签以铁路有运输能力（即可售车票）为前提，旅客可办理一次改签。旅客在变更旅行计划前，请通过12306网站、12306客服电话、车票售票窗口显示屏等方式查询拟乘坐的列车是否有足够余票，避免到时因没有余票不能改签而影响行程。,退票/改签
车票改签的途径有哪些？,旅客可在车站售票窗口、12306网站和具备改签功能的自动售票机办理改签。凭各种有效身份证件购买的车票均可在车站售票窗口办理改签，但已打印报销凭证的和使用现金支付方式购买的车票，仅可在车站售票窗口办理改签；凭12306网站购票证件且使用电子支付方式购买的车票，可通过12306网站办理改签；在具备改签功能的自动售票机办理改签时，应按系统提示办理。,退票/改签
如何办理车票改签？,旅客可办理一次改签，在铁路运输企业有运输能力的前提下，按下列规定办理：开车前48小时以上，可免费改签预售期内的列车。开车前不足48小时，可免费改签车票载明的乘车日期以前的列车。开车前不足48小时，可改签车票载明的乘车日期之后预售期内列车，核收改签费。开车后，在当日24时之前，可免费改签当日其他列车。开车后，在当日24时之前，可改签车票载明的乘车日期之后预售期内列车，核收改签费。办理变更到站的改签时，应在开车前48小时以上，原车票已托运行李的，还应办理行李变更或取消业务。,退票/改签
实名制车票办理改签时，是否需要身份证件？,在车站售票窗口办理改签时，乘车人须出具购票时使用有效身份证件；他人代办时应出具代办人有效身份证件及乘车人购票时使用的有效身份证件。居民身份证无法自动识读或者使用居民身份证以外的其他有效身份证件购票的，请出示购票时所使用的乘车人有效身份证件原件和订单号码。,证件/实名制
车票是否可以办理多次改签？,一张车票可以办理一次改签。车票改签后，旅客取消旅行的，可以按规定退票，但开车后改签的车票不能退票。,退票/改签
办理车票改签时产生差额如何收取或退款？,原车票使用现金购票的，新车票票价高于原车票时，补收差额；新车票票价低于原车票时，退还差额，对差额部分核收退票费并执行现行退票费标准（均为现金）。原车票在铁路售票窗口使用银行卡购票，或者在12306.cn网站使用在线支付工具购票的，按发卡银行或在线支付工具相关规定，新车票票价高于原车票时，请使用银行卡支付新车票全额票款，原车票票款在规定时间退回原购票时所使用的银行卡或在线支付工具；新车票票价低于原车票时，退还差额，对差额部分核收退票费并执行现行退票费标准，应退票款在规定时间退回原购票时所使用的银行卡或在线支付工具。如改签时产生了改签费，还应缴纳相应的改签费，支付方式同新车票票价。,退票/改签
网络改签的退款是实时的吗？一般多长时间会到账？,铁路会将退款的信息实时传给银行，银行是否实时将退款到账，请咨询发卡行客服。,退票/改签
怎么理解开车时间？,开车时间是指车票票面所载明的乘车日期、车次的列车在发站的预计开出时分。为了确保铁路运输秩序，正常情况下列车按运行图运行，到时开车。铁路部门提醒旅客，车站售票厅、进站口、检票口、站台之间有一定距离，需要一定的走行时间，为了确保旅客人身安全和铁路运输秩序，车站将在开车时间之前提前停止售票、检票，请关注车站关于提前停止售票、检票时间的公告，提前做好出行安排，充分考虑住处至乘车站间的交通情况，预留足够时间，在停止售票、检票时间前抵达车站办理购票、换（取）票、候车，同时准备好购票时所使用的乘车人有效身份证件原件，避免耽误乘车。车站售票窗口、安检口、实名制验证口、检票口、行包房受理窗口等排队人数可能较多，请预留足够的时间办理购票、换取纸质车票、行李托运、安全检查、实名制验证、检票等。进站、候车时，请注意广播、电子显示屏、工作人员等关于列车停靠站台、检票口、开始检票时间、开车时间等信息提示。,其他
改签费怎么收？,改签费按如下梯次标准核收：距票面乘车站开车前48小时以上改签时，或开车前不足48小时改签票面乘车日期及以前的列车时，以及开车后在当日24时之前改签当日其他列车时，均不收改签费；开车前24小时以上、不足48小时，改签票面乘车日期之后的列车时，按改签前后低票价车票票面价格的5%计；开车前不足24小时，改签票面乘车日期之后的列车时，按改签前后低票价车票票面价格的15%计；开车后在当日24时之前，改签次日及以后列车时，按改签前后低票价车票票面价格的40%计。上述计算的尾数以5角为单位，尾数小于2.5角的舍去、2.5角（含）以上且小于7.5角的计为5角、7.5角（含）以上的进为1元。,退票/改签
改签收费时给什么报销凭证？,车站售票窗口收取改签费时，出具改签（费）报销凭证。依据国家发票管理有关规定，旅客可用来报销。,退票/改签
在12306.cn网站办理改签后怎么获取改签费报销凭证？,请在12306.cn网站办理改签之日起180日内，凭购票时所使用的乘车人有效身份证件原件和订单号码到车站售票窗口索取改签费报销凭证。依据国家发票管理有关规定，旅客可用来报销。,退票/改签
旅客乘车后能否变更座位铺位？,旅客乘车途中要求变更座位、铺位时，在有运输能力的情况下，列车应予办理。变更后的票价高于原车票的，发售补价票，核收票价差额；低于原车票的，票价差额不退。,退票/改签
列车上能办理变更到站吗？,不能办理。但旅客在车票到站前要求越过到站继续乘车时，须在原车票到站前提出，在有运输能力的情况下列车可予以办理，核收越站区间的票款；无运输能力时，列车有权拒绝旅客补票和继续乘车。,退票/改签
因铁路责任使旅客不能按票面记载的信息乘车怎么办？,因铁路运输企业责任使旅客不能按车票载明的日期、时间、车次、车厢号、席位号、席别乘车时，站、车应妥善安排。重新安排的席位票价高于原票价时，超过部分不予补收；低于原票价时，应当退还票价差额，不收退票费。,乘车/进站
办理退票的途径有哪些？,旅客可在车站售票窗口、12306网站和具备退票功能的自动售票机办理退票。凭各种有效身份证件购买的车票均可在车站售票窗口办理退票；凭12306网站购票证件购买的车票可在12306网站办理退票；在具备退票功能的自动售票机办理退票时，应按系统提示办理。旅客使用12306网站购票证件，通过现金方式购买或已打印报销凭证的车票，可通过12306网站先行办理退票，自网上办理退票成功之日起180日以内，凭乘车人有效身份证件到车站指定窗口办理退款手续。,退票/改签
如何办理退票？,旅客要求退票时，须在车票载明的日期、车次开车时间前办理。已办理行李托运的车票退票时，应先办理取消行李托运业务。退票核收退票费，应退票款按购票时的支付方式退还。,退票/改签
哪些情况不办理退票？,车票发站开车后；开车后改签的车票；加收的票款；车补车票（因未通过或未办理学生资质核验和丢失购票时使用的有效身份证件，而办理的补票除外）。,退票/改签
办理实名制车票退票时，需要提供什么证件？,在车站售票窗口办理退票时，乘车人本人办理的，需出具购票时所使用的有效身份证件；代乘车人办理的，需出具代办人的有效身份证件和乘车人购票时所使用的有效身份证件。,证件/实名制
退票费怎么收？,开车前8天（含）以上退票的，不收取退票费；票面乘车站开车时间前48小时以上的按票价5%计，24小时以上、不足48小时的按票价10%计，不足24小时的按票价20%计。距票面乘车站开车前不足8天的车票，改签至开车前8天以上的列车，又在距开车前8天以上退票的，核收5%的退票费。办理车票改签或“变更到站”时，新车票票价低于原车票的，退还差额，对差额部分核收退票费并执行现行退票费标准。开车后办理车票改签产生票价差额需退还时，按开车前不足24小时标准对票价差额部分核收退票费。上述计算的尾数以5角为单位，尾数小于2.5角的舍去、2.5角（含）以上且小于7.5角的计为5角、7.5角（含）以上的进为1元。退票费最低按2元计收。,退票/改签
退票收费时，给什么报销凭证？,车站售票窗口收取退票费时，出具退票（费）报销凭证。依据国家发票管理有关规定，旅客可用来报销。在12306.cn网站购买的车票，如何办理退票？在12306.cn网站购买且未检票使用的车票，均可在开车前通过12306.cn网站或车站指定窗口办理退票手续。,退票/改签
在12306.cn网站购票后办理退票时如何退款？,在12306.cn网站办理退票时，按购票时所使用的在线支付工具相关规定，应退票款在规定时间退回购票时所使用的在线支付工具。,购票方式
怎么知道收到了退票款？,请通过购票时所使用的在线支付工具进行查询。,退票/改签
办理先退票后领款后身份证件丢失怎么办？,需重新办理身份证件或凭购票时使用的有效身份证件发证机构发放的临时身份证明办理退款。,证件/实名制
办理先退票后领款后是否可以让别人帮助领取票款？,可以，需持代办人本人有效身份证件原件、乘车人购票时使用的乘车人身份证件原件和报销凭证前往车站窗口办理。,退票/改签
在12306.cn网站办理退票后怎么获取退票费报销凭证？,请在12306.cn网站办理退票之日起180日内，凭购票时所使用的乘车人有效身份证件原件和订单号码到车站售票窗口索取退票费报销凭证。依据国家发票管理有关规定，旅客可用来报销。,退票/改签
儿童如何购买车票？,随同成年人乘车的儿童，年满6周岁且未满14周岁的应当购买儿童优惠票；年满14周岁，应当购买全价票。每一名持票成年人旅客可免费携带一名未满6周岁且不单独占用席位的儿童乘车，超过一名时，超过人数应当购买儿童优惠票。儿童年龄按乘车日期计算。旅客携带免费乘车儿童时，应当在购票时向铁路运输企业提前申明，购票申明时使用的免费乘车儿童有效身份证件为其乘车凭证。免费乘车的儿童单独使用席位时应购买儿童优惠票。儿童优惠票的乘车日期、车次及席别应与同行成年人所持车票相同，到站不得远于成年人车票的到站。,购票方式
购买儿童优惠票要身份证吗？,车票实名购买，购票人需凭乘车人的有效身份证件购买车票。请使用儿童本人有效身份证件购票。,证件/实名制
儿童优惠票票价享受哪些优惠？,儿童优惠票可享受普速旅客列车客票、加快票、空调票和动车组列车座席票和卧铺票的优惠。儿童优惠票普速旅客列车票价按相应客票和附加票公布票价的50%计算，免费乘车及持儿童优惠票乘车的儿童单独使用卧铺时，另收全价卧铺票价，有空调时还另收半价空调票票价。儿童优惠票动车组列车二等座、一等座、多功能座票价按照相应列车席别全价执行票价的50%计算；特等座、优选一等座、商务座票价按照相应列车席别全价执行票价的80%计算；动车组卧铺票价按照相应列车席别全价执行票价的70%计算。动车组列车全价执行票价不低于公布票价的40%时，儿童优惠票票价最低为相应列车席别公布票价的40%；动车组列车全价执行票价低于公布票价的40%时，儿童优惠票票价按全价执行票价执行。儿童优惠票的席别与成年人旅客的车票席别相同，到站不能远于成年人旅客车票的到站。,优惠票
新生如何通过线上购买学生票？,第一步：需要使用新生本人身份信息注册铁路12306账户，优惠类型选为学生。第二步：打开铁路12306App-我的-学生优惠资质核验专区填写相关优惠信息(姓名、证件号码、学校和家庭所在地、预计毕业年份)-提交审核后，购买学生优惠票即可。新生通过线上购买学生票后，可持身份证和录取通知书到窗口进行资质核验，刷身份证进站乘车。如未进行线下核验，则凭录取通知书从人工检票口进站乘车。,购票方式
