原始问题,原始答案,问题分类
哪些学生可以购买学生优惠票？,在全日制高等学校（含国务院教育行政部门、省级人民政府审批设置的实施高等学历教育的民办学校），承担研究生教育任务的科学研究机构，军事院校，普通中、小学和中等职业学校（含有实施学历教育资格的公办及民办中等专业学校、职业高中、技工学校），国务院或国家宗教事务局批准的正式宗教院校就读的学生、研究生，家庭居住地和学校所在地不在同一城市时，凭附有标注减价优惠区间和火车票学生优惠卡的学生证（中、小学生凭加盖学校公章的书面证明），优惠区间应加盖院校公章，每学年（10月1日至次年9月30日）可购买家庭居住地至院校（实习地点）所在地之间四次单程的学生优惠票。新生凭录取通知书、毕业生凭盖有院校公章的学校书面证明当年可购买一次学生优惠票。学生优惠票限于使用普通旅客列车硬座、硬卧和动车组列车二等座。学生每学年乘车前应通过12306网站或到车站指定售票窗口、自动售票机办理一次学生优惠资质核验手续。通过车站指定售票窗口或自动售票机办理学生优惠资质核验手续时，应出具本人有效身份证件和学生证（附有火车票学生优惠卡），没有火车票学生优惠卡，火车票学生优惠卡所载信息不全、不能识别或者与学生证记载不一致的，无法通过学生优惠资质核验。华侨学生和港澳台学生可购买学校所在地车站至口岸城市车站间的学生优惠票。铁路运输企业另有规定的除外。火车票学生优惠卡内需载明学生姓名、有效身份证件号码、优惠乘车区间、入学日期、优惠乘车次数等信息。应有而没有“火车票学生优惠卡”，“火车票学生优惠卡”所载信息不全、不能识别或者与学生证记载不一致的，不发售学生优惠票。学生证的减价优惠区间更改时，应重新加盖院校公章，并修改火车票学生优惠卡内相关信息。学生优惠票根据减价优惠区间按相对近径路或合理径路发售。在减价优惠区间内购买联程车票时，扣减一次优惠乘车次数。超过减价优惠区间的，不发售学生优惠票。优惠乘车次数按学年使用有效，当学年不能使用下一学年的次数，当学年未使用的不能留作下学年使用。,购票方式
新生（毕业生）如何购买学生优惠票？,新生凭录取通知书、毕业生凭盖有院校公章的学校书面证明当年可购买一次学生优惠票。学生优惠票限于使用普通旅客列车硬座、硬卧和动车组列车二等座。,购票方式
网络购买学生票优惠区间不符优惠次数超出怎么办？,学生票（区间不符，优惠次数超出）凭本人有效身份证件原件和学生优惠卡，到车站售票窗口办理补票手续。,购票方式
能否分段购买学生票？,按照学生证载明的优惠乘车区间，如没有直达列车或其中一段乘坐动车组列车可以分段购买。,购票方式
什么情况不能发售学生票？,火车票学生优惠卡内需载明学生姓名、有效身份证件号码、优惠乘车区间、入学日期、优惠乘车次数等信息。应有而没有“火车票学生优惠卡”，“火车票学生优惠卡”所载信息不全，不能识别或者与学生证记载不一致的，不能发售学生优惠票。,优惠票
学生优惠票如何资质核验和进站？,符合购买学生票条件且未核验学生资质的旅客，应通过12306网站提前办理在校资质核验（12306网站在校资质核验仅对您的在校学生身份进行核验，学生票优惠区间由站车在途中进行核验。请确保所填写的学生票优惠乘车区间与学生证中记载的优惠乘车区间一致。乘车过程中，如核验发现所填写优惠乘车区间与学生证中优惠乘车区间不一致时，对于超过学生证上记载的区间乘车的，核收超过区间的票价差额，已核减的优惠次数不予退还;对于不符合学生证中优惠乘车区间或不符合减价优惠条件的，按全程全价核收票价差额，退还已核减的优惠次数）。您也可以到车站指定窗口或自动售/取票机，凭居民身份证和学生优惠卡人工办理资质核验。通过12306在校资质核验和人工资质核验的旅客可凭居民身份证件自助办理实名制验证和进出站检票，核验手续应当在乘车前办理。购买学生票的旅客请务必随身携带学生证凭证乘车，以便铁路工作人员在车站和列车上核验。,优惠票
新生（毕业生）购买学生优惠票后如何进站乘车？,由于新生（毕业生）无学生优惠卡，无法办理学生资质审核，所以新生可凭录取通知书（毕业生凭学校开具的书面证明）及购票时所使用的有效身份证件通过人工检票通道进站乘车。,购票方式
学生优惠票价格如何计算？,学生优惠票可享受普速旅客列车硬座客票、加快票、空调票和动车组列车二等座、一等座、多功能座和动车组卧铺各席别的票价优惠。学生优惠票普速旅客列车票价按硬座客票和相应附加票公布票价的50%计算，持学生优惠票乘车的学生使用普速旅客列车硬卧时，应另收全价硬卧票价，有空调时还应另收半价空调票票价。学生优惠票动车组列车票价按照相应列车席别全价执行票价的75%计算。动车组列车全价执行票价不低于公布票价的40%时，学生优惠票票价最低为相应列车席别公布票价的40%；动车组列车全价执行票价低于公布票价的40%时，学生优惠票票价按全价执行票价执行。,优惠票
什么时候可以买学生优惠票？,每学年（10月1日至次年9月30日）可购买家庭居住地至院校（实习地点）所在地之间四次单程的学生优惠票。,优惠票
父母分居两地时怎么办？,学生的父母都不在学校所在地，并分两处居住时，由学生选择一处，并登记在学生减价优待证上。,其他
父母迁居时怎么办？,学生父母迁居时，请提出申请，经学校确认后，可修改学生减价优待凭证上的乘车区间，加盖学校公章，同时修改“学生火车票优惠卡”的相关信息。,其他
回家后学校迁移或调整怎么办？,学生回家后，院校迁移或调整，凭学校证明和学生减价优待证，可以发售从家庭所在地到院校新迁所在地的学生优惠票。,其他
超过减价优待凭证上记载的区间乘车时怎么办？,学生减价优待证记载的车站是没有快车或直通车停靠的车站时，离该站最近的大站（可以超过减价优待证规定的区间）可以发售学生优惠票；因此超过减价优待证上记载的区间乘车时，对超过区间按一般旅客办理，核收票价差额。不符合规定条件、超过减价优待证记载的区间乘车时，按全程全价核收票价差额。,优惠票
华侨学生和港澳台学生怎么办理学生优惠票？,华侨学生和港澳台学生可购买学校所在地车站至口岸城市车站间的学生优惠票。铁路运输企业另有规定的除外。,优惠票
只有学生证，没有身份证，能否购买实名制车票？,不能，学生证不是实名制购票有效身份证件。,证件/实名制
残疾军人如何购买优待票？,持中华人民共和国残疾军人证、中华人民共和国伤残人民警察证、国家综合性消防救援队伍残疾人员证的人员凭证可以购买优待票。,购票方式
优待票可享受哪些优惠？,持中华人民共和国残疾军人证、中华人民共和国伤残人民警察证、国家综合性消防救援队伍残疾人员证的人员凭证可以购买优待票，优待票可享受普速旅客列车客票、加快票、空调票、卧铺票和动车组列车各席别票的优惠。优待票普速旅客列车票价按相应客票和附加票公布票价的50%计算。优待票动车组列车票价按相应席别全价执行票价的50%计算。动车组列车全价执行票价不低于公布票价的40%时，优待票票价最低为相应列车席别公布票价的40%；动车组列车全价执行票价低于公布票价的40%时，优待票票价按全价执行票价执行。,优惠票
什么时候可以购买残疾人旅客专用票额车票？,为方便残疾人旅客乘坐火车出行，每趟旅客列车预留一定数量的残疾人旅客专用票额，自预售之日起至始发站开车前24小时，专门发售给符合购票条件的残疾人旅客。,购票方式
12306网站可以发售残疾人专用票额吗？,2020年4月27日12306网站上线残疾人及残疾军人购票功能，支持通过12306网站及12306手机APP发售残疾人用途车票。,优惠票
购买残疾人旅客专用票额车票需要什么条件？,购买残疾人旅客专用票额车票，需具备以下条件：持有中华人民共和国残疾人证，且载明视力、肢体或智力三类残疾，残疾等级为一级或二级的。持有中华人民共和国残疾军人证、伤残人民警察证、国家综合性消防救援队伍残疾人员证，且载明残疾等级为一至六级的。,购票方式
购买残疾人旅客专用票额的旅客进出站、乘车有何规定？,购买残疾人旅客专用票额的车票时，实行实名制，购票、退票、进出站检票及乘车时，请出示乘车人本人的中华人民共和国残疾人证、残疾军人证、伤残人民警察证、国家综合性消防救援队伍残疾人员证及其所载明的居民身份证等有效身份证件。,购票方式
发现不符合购票条件的持“专”字样车票的旅客，如何处理？,发现旅客不符合发证条件的，列车工作人员有权要求其腾出席位、安排符合条件的旅客使用，同时记录其证件信息。发现使用伪造、变造中华人民共和国残疾人证、残疾军人证、伤残人民警察证、国家综合性消防救援队伍残疾人员证的，移交铁路公安部门依法处理。,购票方式
铁路能向残疾人旅客提供轮椅服务吗？,部分较大站设有服务台，为老、幼、病、残、孕旅客提供优先购票、优先进站、优先乘车、优先托办行李等服务，有的车站还可为行动不便的残疾人旅客提供轮椅服务。详情请咨询乘车站。,优惠票
我是盲人，可以携带导盲犬进站乘车吗？,自2015年5月1日起，视力残疾旅客可以携带导盲犬进站乘车。为维护良好的站车秩序，请旅客主动配合铁路工作人员做好以下工作：（一）在进站、乘车时，请主动出示以下证件：购票时所使用的有效身份证件、残疾人证、导盲犬工作证（载有导盲犬使用者信息，盖有公安部门或残疾人联合会公章，或带有国际导盲犬联盟标识“IGDF”）、动物健康免疫证明。（二）进站时，请与其他旅客一样，携带导盲犬接受安全检查。（三）进入车站、列车前，请为导盲犬系上牵引链，佩戴导盲鞍。为保障旅客出行安全，有下列情形之一的，需与具备照看导盲犬能力的成年人同行：（一）乘坐同一趟列车时间超过12小时的；（二）购买联程票时，每段接续时间在2小时以内，且全程时间超过12小时的。在车站及乘车期间，旅客或同行成年人负责照看导盲犬及照顾导盲犬吃、喝、排泄，请勿影响站车环境卫生。在不阻塞通道、车门等前提下，导盲犬宜在旅客座席附近或铺位下陪伴，请勿让其占用席位或任意跑动。在发生危及旅客人身安全和铁路运营秩序的特殊情况下，携带导盲犬的旅客与其他旅客一样，需共同遵守铁路和公安部门的有关规定，接受铁路工作人员的组织和引导。,乘车/进站
哪些旅客可以申请办理特殊重点旅客预约服务？,因年龄、行为、身体状况等原因，在旅行中依靠辅助器具才能行动等需特殊照顾的特殊重点旅客可以预约该服务。特殊重点旅客服务主要分为：无陪伴年长旅客服务、无陪伴孕妇旅客服务、视觉/听觉障碍旅客服务、轮椅/担架（车）行动障碍旅客服务、携带导盲犬旅客服务。无陪伴年长旅客服务，一般指年龄超过65周岁，单独乘车且行动不便，需要进出站引导以及途中随访关照旅客所提供的服务。无陪伴孕妇旅客服务，一般指面向怀孕超过36周（含）或预产期在4周（含）以内，单独乘车，需要进出站引导以及途中随访关照旅客所提供的服务。视觉/听觉障碍旅客服务，指面向视觉（双目有缺陷、失明）/听觉（双耳听力缺陷）障碍旅客所提供的服务。轮椅/担架（车）行动障碍旅客服务，指面向因病因残导致行动不便且有服务需求旅客所提供的服务。携带导盲犬旅客服务，指面向因视觉障碍，需携带取得导盲犬工作证，辅助视力残疾人工作、生活的导盲犬进站乘车旅客所提供的服务。,其他
旅客如何预约特殊重点旅客服务？,持有铁路有效车票且符合特殊重点旅客服务条件的旅客可以在乘车前规定时间内通过线上线下渠道向铁路部门提出特殊重点旅客服务申请。线上渠道包括铁路12306网站、12306App、12306客户服务热线等。旅客应在不晚于乘车站列车开车前6小时提出服务申请。线下渠道包括铁路客运车站12306服务台、综合服务中心和旅客列车现场。旅客应在乘车站列车开车前60分钟到车站提出服务申请，或在列车上提出服务申请。办理过程中，请按照系统提示要求或铁路客运人员指引，准确填写相关信息并提交有效证明材料。对于旅客身份信息与车票身份信息不一致、不符合服务条件，或无法提供相关有效证明材料等情况的，客运车站有权拒绝提供服务。,其他
特殊重点旅客预约成功后，铁路部门提供哪些服务？,特殊重点旅客申请成功后，铁路部门将提供便利进出站、优先安检、优先验证、优先检票、引导帮扶、协助乘降，以及提供站内免费轮椅、担架（车）以及列车内随访关照等服务，为残疾人携带导盲犬提供便利；设有重点旅客候车室、母婴室（哺乳室）等服务设施的车站，还将提供专区候车等服务。服务范围原则上限于客运车站进站口12306预约旅客会合点至出站口闸机以内的铁路旅客服务区域，包含客运车站进出站通道、候车区域、客运站台，以及在途旅客列车服务区域内。特别提醒您，请在乘车站列车开车前60分钟到达车站12306预约旅客会合点。,其他
发生哪些行为的，铁路部门有权拒绝提供特殊重点旅客服务？,不满足年龄条件，或不满足单独出行要求等不符合预约申请条件的；持伪造、过期等无效证明材料或冒用他人有效证明材料的；提供的证明材料不符合规定，或无法提供规定的有效证明材料的；现场临时提出申请，或明显超过约定时间到达车站，铁路客运站车现场不具备服务保障能力的；提出的服务要求，明显超出铁路旅客运输服务范围和能力的。,其他
哪些情况会导致无法在线上渠道办理预约申请？,对违反相关规定，发生下列行为的，旅客将在行为发生日180天内无法通过线上渠道办理相关服务的预约申请。不符合预约申请条件，但连续2次办理预约申请的；在1年内办理重点旅客服务预约申请成功后，累计2次未如约到达车站的；在30天内预约申请重点旅客服务后，因自身原因需要取消重点旅客服务预约申请的，累计2次未在规定时间内办理取消的；持伪造、过期等无效证明材料或冒用他人有效证明材料的；在服务过程中，存在辱骂、殴打客运服务人员等不文明行为的。,其他
哪些情况重点旅客服务预约申请会自动取消，以及如何自行取消预约服务？,因列车停运或旅客自行办理退票，其所办理的特殊重点旅客预约申请随即自动取消。当旅客乘坐的列车发生变动或自行办理改签，预约申请随即自动取消，特殊重点旅客需重新办理特殊重点旅客服务申请。旅客因自身原因，需要取消重点旅客服务预约申请时，通过线上渠道预约办理的可以在原渠道或拨打客服电话取消，通过车站现场办理的可以现场或拨打客服电话取消。,其他
旅客可以免费携带多少物品乘车？,旅客携带品由自己负责看管。旅客需妥善放置携带品，不得影响公共空间使用和安全。每人免费携带品的重量和规格是：儿童10千克，外交人员35千克，其他旅客20千克。每件物品外部尺寸长、宽、高之和不超过160厘米，杆状物品不超过200厘米；但乘坐动车组列车均不超过130厘米；每件重量不超过20千克。平衡车、滑行器等轮式代步工具须使用硬质包装物妥善包装。依靠辅助器具才能行动的老、幼、病、残、孕等特殊重点旅客旅行时代步的折叠式轮椅，以及随行婴儿使用的折叠婴儿车，可免费携带并不计入上述范围。,乘车/进站
哪些物品不得携带上车？,详见《铁路旅客禁止、限制携带和托运物品目录》。,携带品
发现旅客违章携带物品，如何处理？,在乘车站禁止进站上车。在车内或下车站，对超过免费重量的物品，其超重部分应自上车站至下车站补收行李运费。对不可分拆的整件超重、超大物品、活动物，按该件全部重量补收上车站至下车站行李运费。列车不具备补收条件时可交前方停车站处理。发现危险品或禁限物品，妨碍公共卫生的物品，损坏或污染车辆的物品时，列车交前方停车站处理，车站按该件物品全部重量加倍补收上车站至下车站行李运费；涉嫌违法犯罪的送交公安部门处理，对有必要就地销毁的危险品或禁限物品应按有关规定处理。如旅客携带超重、超大的物品价值低于行李运费时，可按物品价值的50％核收行李运费。补收行李运费时，不得超过本次列车的始发站和终到站。不能判明上车站时，自始发站起计算。,携带品
乘车携带香烟有什么规定？,每名旅客最多可携带50条，超过数量请出示相关部门出具的携带证明。,乘车/进站
乘车携带白酒有什么规定？,包装密封完好、标志清晰且酒精体积百分含量大于或者等于24%、小于或者等于70%的酒类饮品累计不超过3000毫升。详见《铁路旅客禁止、限制携带和托运物品目录》。,乘车/进站
托运行李有什么条件？,行李是旅客凭车票托运的一定限度的旅行必需品。行李每件的最大重量为50千克，外部尺寸长、宽、高之和最大不超过200厘米，最小不小于60厘米。行李一般随旅客所乘列车运送或提前运送。行动不便旅客在旅行中使用的轮椅可按行李托运。,携带品
托运哪些物品要办理押运？,托运金银珠宝、货币证券、文物、枪支、中途需饲养的动物等应派人押运。押运人应购买车票并对所押物品的安全负责。,携带品
行李的运到期限是如何计算的？,行李的运到期限以运价里程计算。从承运日起，行李600千米以内为3日，超过600千米时，每增加600千米增加1日，不足600千米也按1日计算。,携带品
行李逾期时，旅客如何处理？,行李超过规定的运到期限运到时，铁路运输企业应按逾期日数及所收行李运费的百分比向旅客支付违约金。行李变更运输时，逾期运到违约金不予支付。旅客要求支付违约金时，凭行李票在行李到达日起10日以内提出。,携带品
行李运到后，承运人免费保管吗？,行李运到后从通知之日起，铁路运输企业免费保管3日，逾期到达的行李免费保管10日。因铁路运输企业责任和不可抗力等原因导致旅客行李延迟到达时，按延迟日数增加免费保管日数。超过免费保管期限时，按日核收保管费。,携带品
旅客如何提取行李包裹？,旅客凭本人购票时使用的有效身份证件领取行李。他人代领时凭旅客购票时使用的有效身份证件和代领人有效身份证件领取。,携带品
如何办理行李变更？,旅客在办理行李托运手续后，可按如下规定办理一次行李变更手续；办理行李变更的到站、中止站必须是行李办理站：在发站装运前取消托运时，退还全部行李运费，核收保管费；在发站装运后取消托运时，行李由到站运回发站，已收行李运费不退，补收到站至发站间行李运费；旅客办理车票变更到站后，在装运前办理行李到站变更时，补收或退还已收行李运费与发站至新到站行李运费的差额；旅客办理车票变更到站后，在装运后办理行李到站变更时，已收行李运费不退，另补收原到站至新到站的行李运费；旅客中止旅行后，要求将行李运回旅行中止站时，补收原到站至中止站间的行李运费。,退票/改签
发现品名不符时，如何处理？,将禁限物品或危险品夹带运输时，在发站取消托运，在中途站停止运送（在列车上发现危险品交前方停车站），均通知有关部门和旅客处理，已收行李运费不退，按该件全部重量另行加倍补收行李运费，核收保管费。,其他
常见危险品品名有哪些？,详见《铁路旅客禁止、限制携带和托运物品目录》。,其他
什么是保价运输？,铁路保价运输，是指托运人在托运物品时向铁路承运人声明物品的实际价值，并缴纳相应的费用，当物品在运输过程中发生损失时，铁路承运人按照托运人的声明价值赔偿损失。行李分为保价运输和不保价运输，旅客可自主选择。按保价运输时，可分件声明价格，也可按一批全部件数声明价格。按一批办理时，不得只保其中一部分。,其他
行李运输的损失赔偿标准是多少？,按保价运输办理的行李全部灭失时按实际损失赔偿，但最高不超过声明价格。部分损失时，按损失部分所占的比例赔偿。分件保价的行李按所灭失该件的实际损失赔偿，最高不超过该件的声明价格。未按保价运输的行李按实际损失赔偿，但最高连同包装重量每千克不超过15元。如由于铁路运输企业故意或重大过失造成的，不受上述赔偿限额的限制，按实际损失赔偿。,携带品
发生行李事故后，如何提出赔偿？,发生行李包裹事故时，一般请在到站办理，特殊情况也可由发站办理。收货人要求赔偿时，请在规定的期限内提出并附下列文字材料：行李票或包裹票；行李、包裹事故记录；证明物品内容和价格的凭证。,携带品
铁路对哪些原因造成的行李损失不承担责任？,不可抗力；物品本身的自然属性或合理损耗；包装方法或容器不良，从外部观察不能发现时；旅客违反铁路规章或其他自身的过错。,携带品
为了能准时乘车，我该做些什么？,车站售票厅、进站口、检票口、站台之间有一定距离，需要一定的走行时间，为了确保旅客人身安全和铁路运输秩序，车站将在开车时间之前提前停止售票、检票，请关注车站关于提前停止售票、检票时间的公告，在停止售票、检票时间前抵达车站办理购票、候车，同时准备好购票时所使用的乘车人有效身份证件原件，避免耽误乘车。车站售票窗口、安检口、实名制验证口、检票口、行包托运受理窗口排队人数可能较多，请预留足够的时间办理购票、行李托运、安全检查、实名制验证、检票等。进站、候车时，请注意广播、电子显示屏、工作人员等关于列车停靠站台、候车室、检票口、开始检票时间、开车时间等信息提示。,乘车/进站
进站必须安检吗？,依据国家有关法律规定，所有旅客及随身携带物品都必须经过安全检查。进站乘车时，请将携带物品放入危险品检查仪、通过安检门接受安全检查，请予配合。视力残疾旅客携带导盲犬进站时，请与其他旅客一样，携带导盲犬接受安全检查。车站安检口可能排队人数较多，请预留足够的时间到达车站。,乘车/进站
旅客怎样检票？,使用中华人民共和国居民身份证、港澳居民居住证、台湾居民居住证、外国人永久居留身份证，港澳居民来往内地通行证，台湾居民来往大陆通行证等可识读证件购票的旅客，凭购票时所使用的有效身份证件原件，可通过实名制核验、检票闸机自助完成实名制验证、进出站检票手续。使用其他证件购票的旅客，凭购票时所使用的有效身份证件原件，通过人工通道完成实名制验证、进出站检票手续。,乘车/进站
购票后，可以在中途站上车吗？,按照车票票面指定的日期、车次，可以在中途站上车，但未乘区间的票价不退。,购票方式
列车怎样验票？,普通旅客列车，列车工作人员在车门口及运行途中查验车票；动车组列车，列车工作人员在运行途中查验车票。,其他
列车如何进行实名制验证？,按照国家有关规定，实行车票实名制的，列车验票时，同时核对旅客、所持车票及购票时所使用的有效身份证件原件。票、证、人不一致，按无票处理。,证件/实名制
持居民身份证直接检票乘车时，列车验票发现没有购票信息怎么办？,经列车工作人员确认没有旅客购票信息时，请先行补票。,证件/实名制
旅客在车票到站前要求越过到站继续乘车怎么办？,旅客要求越过车票到站继续乘车时，须在原车票到站前提出，在有运输能力的情况下列车可予以办理，核收越站区间的票款；无运输能力时，列车有权拒绝旅客补票和继续乘车。,乘车/进站
旅客乘车后能否中途下车，并恢复旅行？,持直达票的旅客中途下车，未乘区间失效；但如因伤、病或铁路责任不能继续旅行时，凭列车长开具的客运记录，可退还已收票价与已乘区间票价差额，已乘区间不足起码里程时按起码里程计算；同行人同样办理。,乘车/进站
发生车票误售、误购时怎么办？,车站售票窗口发生旅客车票误售、误购时，旅客当场提出的，车站换发新票，需退还票价差额时，不收退票费。铁路运输企业责任导致的误售应为旅客免费办理退票或换发新票。,其他
因误售、误购车票或旅客误乘时，怎么办？,发生误乘、误降时，旅客应向站、车工作人员提出。列车长应编制客运记录交前方停车站；车站对本站发现或列车移交的误乘、误降旅客，应指定最近列车免费送回至车票到站或原票乘车站，对出站后提出的不予受理。如误乘旅客提出乘坐本趟列车直接去原票到站时，所乘列车票价高于原票价时，核收票价差额；所乘列车票价低于原票价时，票价差额部分不予退还。旅客拒绝铁路运输企业安排时，根据实际乘车区间补收相应票款，未使用部分票款不予退还。,其他
旅客丢失购票时使用的有效身份证件如何处理？,旅客购票后，丢失购票身份证件的，按以下方式处理。（一）旅客在乘车前丢失证件的，应到该有效身份证件的发证机构办理身份证明（含铁路临时身份乘车证明），凭身份证明进出站乘车。（二）旅客在列车上、出站前丢失证件的，须先办理补票手续并按规定支付手续费，列车核验席位使用正常的，开具电子客运记录（特殊情况可开具纸质客运记录）；车站核验车票无出站检票记录的，开具客运记录。旅客应在乘车日期之日起30日内，凭该有效身份证件发证机构办理的身份证明和后补车票（如开具纸质客运记录，还应携带纸质客运记录），到列车的经停站退票窗口办理后补车票与原票乘车区间一致部分的退票手续。办理退票手续时，如核查丢失证件有出站记录的，后补车票不予退票；无出站记录的，办理退票时，不收退票费，已核收的手续费不予退还。,证件/实名制
丢失报销凭证是否可以补打？,不可以。,发票/报销
在旅行途中发生急病，怎么办？,旅客在乘车旅行途中，如发生急病，请及时向站、车工作人员寻求帮助。旅客旅行途中因伤、病不能继续旅行时，经站、车核实，可在下车后30日以内到下车站办理退票，退还已收票价与已乘区间票价差额，核收退票费；同行人同样办理。,其他
在旅行途中发生人身伤害，怎么办？,旅客在乘车旅行途中，如发生人身伤害，请及时向站、车工作人员寻求帮助。,其他
铁路对哪些原因造成的旅客身体伤害不承担责任？,铁路运输企业应当对铁路运送期间发生的旅客人身损害承担赔偿责任；旅客自身健康原因造成的或者铁路运输企业证明伤亡是旅客故意、重大过失造成的，铁路运输企业不承担赔偿责任。在铁路运送期间因第三人原因造成旅客人身损害的，由第三人承担赔偿责任。铁路运输企业有过错的，应当在能够防止或者制止损害的范围内承担相应的补充赔偿责任。铁路运输企业承担补充赔偿责任后，有权向第三人追偿。,其他
旅客遗失物品时，如何处理？,旅客携带品由自己负责看管。旅客在铁路车站、列车上遗失物品时，请及时向铁路工作人员反映。客流量较大的车站均设有失物招领处。,携带品
哪些遗失物品不负责保管？,鲜活易腐物品和食品不负责保管。,携带品
空调故障发生后，如何办理退票费？,列车因空调设备故障在运行过程中不能修复时，应退还未使用区间的空调费用。,退票/改签
线路中断时，对旅客如何处理？,运行中断，列车不能继续运行时，应妥善安排被阻旅客，及时告知相关出行信息。运行中断，旅客可以按照铁路运输企业的安排返回发站、中途站退票或绕道旅行，退票按照相关规定办理。铁路运输企业组织原列车绕道运输时，旅客原票不补不退，但中途下车铁路旅客运输合同即履行终止。由于运行中断影响旅行，旅客要求出具证明时，车站应开具文字证明。,其他
进疆列车,新疆铁路途经风口较多，遇大风、沙尘等恶劣天气，为确保铁路运输安全，列车可能会导致列车晚点、提前终止运行或停运，请予理解配合。,其他
渡海列车,从其他地区开往海南的列车，要在海口市南港～广东省徐闻县北港间通过轮船渡过琼州海峡。遇台风、大雾等恶劣天气、海象或者海事管制，为了确保运输安全，渡船可能不能正常运行，并导致列车晚点、提前终止运行或停运，请予理解配合。列车渡海前、后，要在港口进行分解、编组及上下渡船作业。由于作业时不能供电，列车空调将短暂停止工作，车内温度将有所上升，旅客可能会产生一定的不适感，请予理解配合。,其他
青藏列车,青藏高原地处低氧区，在高原旅行对身体条件有较高要求，旅客可能会出现不同程度的高原反应，建议在出行前作必要的身体检查，在医生的指导下预先服用或准备适当的抗高原反应药物，并请填写“旅客健康登记卡”，上车时交本车厢列车员。部分列车在西宁站要进行换乘，全体旅客都将换乘至另一列车，请接受并配合工作人员的组织和引导。在格尔木～拉萨区间运行时，列车将提供弥散式供氧和独立吸氧服务，如有疑问，请咨询列车工作人员。高原期间，最好戒烟戒酒，并注意缓慢行走，尽量保持体力。,其他
铁路旅客文明出行公约包括哪些内容？,遵守站车秩序。持有效凭证进站乘车，听从工作人员指引，不闯口、不插队、不越席、不越站、不霸座、不喧哗，看护好随行儿童，不影响他人候车乘车。维护公共安全。不携带禁止限制物品进站上车，不扒阻车门，不在动车组列车和其他禁烟区吸烟，不擅自开启列车车门和操纵列车紧急设施。保持环境卫生。不随地吐痰，不乱扔垃圾，不随地坐卧，不乱扔烟头，乘车期间不食用有异味的食物。爱护设备设施。正确使用车站和列车服务设备，不损坏公共设施，节约用水用纸。讲究以礼待人。注意个人言行，文明用语，尊老爱幼，相互礼让；公共环境衣着整洁得体。,其他
动车组和旅客列车内的电源，在使用中有什么要求？,为保障动车组和旅客列车运行安全，车内的电源仅满足旅客为手机、平板电脑和笔记本电脑等小型电子产品充电使用，请勿使用电水壶等较大功率电器。,其他
旅客在站台候车期间，需要注意什么？,旅客在站台候车期间，请看管好自己的行李物品，特别是带有滑轮的拉杆箱，以免坠入站台股道；您在站台行走过程中，请不要越过安全线；携带儿童出行的旅客，务必看护好随行儿童，避免在站台上奔跑。在站台上吸烟的旅客，请将烟头熄灭后，投入站台上的灭烟处或垃圾箱中，不要随地丢弃。,乘车/进站
旅客在乘车期间，有哪些安全注意事项？,旅客在列车行李架上放置行李物品时，行李箱、背包、手提袋等应封闭良好并摆放平稳，尖角利器、沉重物品和杆状物品请放置在大件行李处或座椅下部。旅客接打开水时，不要接的过满，请及时拧紧杯盖。携带儿童出行的旅客，请看护好随行儿童，不要让孩子在车厢内奔跑、攀爬，不要触碰电茶炉和列车制动等安全设施。乘坐卧铺的旅客，在上下卧铺时，请扶稳抓牢。乘车期间，请随时关注列车广播，以避免坐过站。,乘车/进站
列车上是否允许吸烟？,动车组列车全程各部位严禁吸烟。普通旅客列车车厢内严禁吸烟，目前部分列车在车门或车厢连接处设有吸烟点。依据《铁路安全管理条例》（国务院令第639号）有关规定，在动车组列车上吸烟或者在其他列车的禁烟区域吸烟的，由公安机关责令改正，处500元以上2000元以下的罚款。,其他
动车组商务、一等座旅客享受什么服务？,目前，部分高铁动车组列车对一等座及以上的旅客提供饮品、小食品等免费服务。逢中晚餐时，为商务座旅客提供免费餐食服务。详情请咨询列车工作人员。,其他
车站有贵宾室或软席候车室吗？,省会城市等大型高铁车站设有独立的贵宾候车区，为动车组商务座旅客在站内候车提供相关服务。部分普速车站设有软席候车室（区），为持软卧车票的旅客在站内候车提供相关服务。详情请咨询乘车站。,其他
商务座旅客在车站可以享受什么服务？,在直辖市、省会城市和计划单列市所在地的主要高铁车站，向商务座旅客提供协助引导服务，优先取票、安检、验证服务和商务座专区候车服务。商务座候车专区免费提供饮品、食品、报刊、影视服务，以及列车到开时刻、检票口、站台等信息服务。详情请咨询车站工作人员。,其他
